step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,7.933188,8.339202,7.962108,3.141425,27.375924
1,8.149982,8.51374,8.084472,3.143117,27.891311
2,8.372363,8.691675,8.208565,3.144824,28.417427
3,8.600439,8.873058,8.334406,3.146546,28.95445
4,8.834324,9.057939,8.462015,3.14828,29.502558
5,9.074133,9.24637,8.591411,3.150026,30.06194
6,9.319986,9.438404,8.722612,3.151784,30.632786
7,9.572007,9.634094,8.85564,3.153553,31.215293
8,9.830321,9.833495,8.990512,3.155332,31.80966
9,10.095056,10.036663,9.12725,3.15712,32.41609
10,10.366343,10.243655,9.265872,3.158919,33.034789
11,10.644315,10.454525,9.4064,3.160727,33.665967
12,10.929105,10.669333,9.548852,3.162544,34.309834
13,11.22085,10.888136,9.693249,3.16437,34.966605
14,11.519688,11.110992,9.839611,3.166205,35.636496
15,11.825759,11.337961,9.987958,3.168049,36.319727
16,12.139205,11.569102,10.138311,3.169901,37.016518
17,12.460168,11.804474,10.29069,3.171761,37.727093
18,12.788793,12.044139,10.445115,3.17363,38.451677
19,13.125225,12.288157,10.601607,3.175506,39.190496
20,13.469613,12.536589,10.760187,3.177391,39.94378
21,13.822104,12.789495,10.920876,3.179283,40.711758
22,14.182848,13.046939,11.083692,3.181183,41.494663
23,14.551995,13.308983,11.248659,3.183091,42.292728
24,14.929699,13.575687,11.415795,3.185006,43.106188
25,15.316112,13.847115,11.585123,3.186929,43.93528
26,15.711389,14.123331,11.756662,3.188859,44.78024
27,16.115683,14.404395,11.930434,3.190796,45.641308
28,16.529151,14.690373,12.106459,3.19274,46.518724
29,16.951949,14.981328,12.284758,3.194692,47.412727
30,17.384235,15.277322,12.465352,3.196651,48.32356
31,17.826165,15.57842,12.648262,3.198616,49.251464
32,18.2779,15.884685,12.833508,3.200589,50.196682
33,18.739597,16.196182,13.021111,3.202568,51.159458
34,19.211415,16.512973,13.211092,3.204555,52.140036
35,19.693514,16.835124,13.403472,3.206548,53.138658
36,20.186054,17.162698,13.598271,3.208548,54.155571
37,20.689194,17.495759,13.79551,3.210554,55.191017
38,21.203094,17.834371,13.995209,3.212568,56.245242
39,21.727914,18.178598,14.197389,3.214587,57.318488
40,22.263813,18.528504,14.40207,3.216614,58.411001
41,22.810951,18.884152,14.609273,3.218647,59.523023
42,23.369486,19.245607,14.819019,3.220686,60.654797
43,23.939577,19.612931,15.031326,3.222732,61.806566
44,24.521382,19.986187,15.246216,3.224785,62.978569
