step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,3.559456,3.38435,3.40063,1.362651,11.707088
1,3.656715,3.455709,3.453349,1.363395,11.929168
2,3.756562,3.528513,3.506831,1.364151,12.156057
3,3.859051,3.602787,3.561088,1.364918,12.387844
4,3.96424,3.678556,3.616128,1.365696,12.624619
5,4.072189,3.755847,3.67196,1.366484,12.86648
6,4.182962,3.834684,3.728595,1.367281,13.113522
7,4.296622,3.915097,3.786042,1.368088,13.365849
8,4.413236,3.997111,3.844312,1.368904,13.623562
9,4.532871,4.080755,3.903413,1.369728,13.886767
10,4.655598,4.166057,3.963356,1.37056,14.155572
11,4.781486,4.253047,4.024151,1.371401,14.430086
12,4.91061,4.341753,4.085808,1.372249,14.710421
13,5.043042,4.432206,4.148338,1.373105,14.996691
14,5.178858,4.524435,4.21175,1.373969,15.289012
15,5.318135,4.618471,4.276056,1.374839,15.587501
16,5.460951,4.714346,4.341264,1.375717,15.892278
17,5.607386,4.81209,4.407387,1.376602,16.203465
18,5.757521,4.911736,4.474435,1.377493,16.521185
19,5.911439,5.013317,4.542417,1.378391,16.845564
20,6.069224,5.116864,4.611346,1.379296,17.17673
21,6.230961,5.222411,4.681232,1.380207,17.514811
22,6.396736,5.329993,4.752085,1.381124,17.859939
23,6.566639,5.439642,4.823917,1.382048,18.212247
