step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
102,137.328485,89.667292,57.66891,6.028675,290.693362
103,139.570974,90.981189,58.353513,6.032604,294.938281
104,141.833678,92.30699,59.043484,6.036542,299.220695
105,144.116502,93.644661,59.738814,6.04049,303.540467
106,146.419352,94.994168,60.439492,6.044447,307.89746
107,148.742131,96.355474,61.145509,6.048415,312.291529
108,151.084743,97.728538,61.856854,6.052392,316.722527
109,153.447091,99.113322,62.573513,6.05638,321.190307
110,155.829078,100.509783,63.295474,6.060379,325.694714
111,158.230604,101.917878,64.022724,6.064388,330.235594
112,160.651573,103.33756,64.755248,6.068408,334.81279
113,163.091886,104.768784,65.49303,6.07244,339.42614
114,165.551444,106.211501,66.236054,6.076483,344.075483
115,168.030149,107.665662,66.984304,6.080538,348.760654
116,170.527904,109.131215,67.737761,6.084606,353.481486
117,173.04461,110.608109,68.496408,6.088685,358.237811
118,175.580169,112.096289,69.260225,6.092778,363.029461
119,178.134486,113.595701,70.029191,6.096883,367.856262
