step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,6.509919,6.956705,6.544234,2.620195,22.631052
1,6.688833,7.103245,6.644957,2.621656,23.058691
2,6.872423,7.252679,6.747115,2.623132,23.495348
3,7.060781,7.405052,6.850723,2.62462,23.941175
4,7.254004,7.56041,6.955797,2.62612,24.39633
5,7.452192,7.718799,7.062353,2.627631,24.860976
6,7.65545,7.880266,7.170409,2.629153,25.335278
7,7.863884,8.04486,7.27998,2.630684,25.819408
8,8.077603,8.21263,7.391083,2.632224,26.31354
9,8.296718,8.383624,7.503735,2.633774,26.81785
10,8.521342,8.557893,7.617953,2.635332,27.33252
11,8.751591,8.735488,7.733753,2.636899,27.857731
12,8.987584,8.91646,7.851152,2.638474,28.39367
13,9.229437,9.100861,7.970169,2.640057,28.940525
14,9.477274,9.288744,8.090819,2.641649,29.498485
15,9.731217,9.48016,8.21312,2.643248,30.067745
16,9.99139,9.675164,8.33709,2.644856,30.6485
17,10.257919,9.87381,8.462745,2.64647,31.240946
18,10.530933,10.076152,8.590105,2.648093,31.845283
19,10.810561,10.282245,8.719185,2.649723,32.461713
20,11.096933,10.492144,8.850004,2.65136,33.090439
21,11.390181,10.705904,8.982579,2.653004,33.731668
22,11.69044,10.923582,9.116928,2.654656,34.385606
23,11.997845,11.145234,9.25307,2.656314,35.052462
24,12.312532,11.370916,9.391021,2.65798,35.732448
25,12.634638,11.600687,9.5308,2.659652,36.425777
26,12.964303,11.834603,9.672425,2.661332,37.132662
27,13.301667,12.072722,9.815913,2.663018,37.853319
28,13.646871,12.315102,9.961284,2.664711,38.587967
29,14.000057,12.561801,10.108554,2.66641,39.336822
30,14.361369,12.812879,10.257742,2.668116,40.100106
31,14.730952,13.068393,10.408866,2.669829,40.87804
32,15.10895,13.328404,10.561945,2.671548,41.670847
33,15.49551,13.59297,10.716995,2.673274,42.478749
34,15.890779,13.86215,10.874037,2.675006,43.301971
35,16.294904,14.136005,11.033086,2.676744,44.14074
36,16.708035,14.414594,11.194163,2.678489,44.995281
37,17.130319,14.697976,11.357285,2.680241,45.865821
38,17.561907,14.986213,11.522469,2.681998,46.752588
39,18.002949,15.279365,11.689735,2.683762,47.655811
