step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,10.659129,11.014995,10.786995,4.245758,36.706877
1,10.951328,11.247282,10.95307,4.247959,37.399639
2,11.25106,11.484115,11.121495,4.25018,38.106851
3,11.558463,11.725565,11.292296,4.252417,38.828741
4,11.873682,11.9717,11.465497,4.254669,39.565549
5,12.196868,12.222593,11.641127,4.256934,40.317522
6,12.528176,12.478314,11.819211,4.259212,41.084913
7,12.867767,12.738936,11.999776,4.261502,41.867981
8,13.215806,13.004533,12.182848,4.263803,42.66699
9,13.572457,13.27518,12.368455,4.266115,43.482206
10,13.937892,13.550951,12.556622,4.268437,44.313902
11,14.312282,13.831921,12.747378,4.270769,45.162351
12,14.695801,14.118169,12.940749,4.273111,46.02783
13,15.088626,14.409769,13.136763,4.275463,46.910621
14,15.490935,14.7068,13.335446,4.277824,47.811006
15,15.902907,15.00934,13.536827,4.280194,48.729269
16,16.324725,15.317468,13.740932,4.282573,49.665698
17,16.756572,15.631262,13.947789,4.284961,50.620584
18,17.198631,15.950801,14.157426,4.287357,51.594216
19,17.651089,16.276166,14.36987,4.289762,52.586887
20,18.114132,16.607437,14.585149,4.292176,53.598894
21,18.587948,16.944693,14.803291,4.294597,54.63053
22,19.072727,17.288016,15.024323,4.297027,55.682093
23,19.568658,17.637487,15.248272,4.299465,56.753882
24,20.07593,17.993186,15.475168,4.301911,57.846196
25,20.594736,18.355196,15.705037,4.304365,58.959334
26,21.125267,18.723597,15.937908,4.306826,60.093598
27,21.667714,19.09847,16.173807,4.309296,61.249288
28,22.22227,19.479899,16.412764,4.311773,62.426705
29,22.789126,19.867963,16.654805,4.314257,63.626151
30,23.368475,20.262746,16.899957,4.31675,64.847927
31,23.960508,20.664328,17.14825,4.319249,66.092335
32,24.565419,21.07279,17.39971,4.321756,67.359675
33,25.183396,21.488216,17.654364,4.324271,68.650247
34,25.814633,21.910685,17.912241,4.326792,69.964351
35,26.459318,22.340278,18.173368,4.329321,71.302285
36,27.117641,22.777077,18.437771,4.331858,72.664346
37,27.789789,23.221162,18.705478,4.334401,74.050831
38,28.475952,23.672614,18.976516,4.336952,75.462033
39,29.176313,24.131511,19.250912,4.339509,76.898246
40,29.891059,24.597934,19.528693,4.342074,78.35976
41,30.620371,25.071962,19.809885,4.344645,79.846864
42,31.364432,25.553673,20.094515,4.347224,81.359845
43,32.123421,26.043145,20.38261,4.34981,82.898986
44,32.897516,26.540456,20.674195,4.352402,84.464569
45,33.686892,27.045683,20.969296,4.355001,86.056873
46,34.491723,27.558902,21.26794,4.357608,87.676172
47,35.31218,28.080188,21.570152,4.360221,89.32274
48,36.14843,28.609616,21.875957,4.36284,90.996845
49,37.000641,29.147261,22.185381,4.365467,92.698751
50,37.868976,29.693196,22.498449,4.368101,94.428722
51,38.753594,30.247493,22.815185,4.370741,96.187013
52,39.654653,30.810224,23.135615,4.373388,97.973879
53,40.572307,31.381459,23.459761,4.376041,99.789569
54,41.506708,31.961268,23.787649,4.378702,101.634326
55,42.458002,32.54972,24.119302,4.381369,103.508392
56,43.426334,33.146882,24.454743,4.384043,105.412002
57,44.411844,33.752821,24.793996,4.386724,107.345385
58,45.41467,34.367603,25.137083,4.389412,109.308767
59,46.434944,34.991291,25.484027,4.392106,111.302367
60,47.472795,35.623949,25.83485,4.394807,113.326401
61,48.52835,36.265638,26.189575,4.397515,115.381078
62,49.60173,36.91642,26.548221,4.40023,117.466601
63,50.693051,37.576353,26.910812,4.402951,119.583167
64,51.802428,38.245495,27.277367,4.40568,121.73097
65,52.929968,38.923904,27.647907,4.408415,123.910194
66,54.075777,39.611634,28.022452,4.411158,126.121021
67,55.239955,40.308739,28.401021,4.413907,128.363623
68,56.422598,41.015272,28.783635,4.416663,130.638169
69,57.623799,41.731284,29.170311,4.419427,132.94482
70,58.843643,42.456823,29.561068,4.422197,135.283731
71,60.082214,43.191938,29.955924,4.424975,137.655051
72,61.339591,43.936675,30.354896,4.42776,140.058923
73,62.615848,44.69108,30.758003,4.430553,142.495483
74,63.911054,45.455194,31.165259,4.433352,144.96486
75,65.225274,46.22906,31.576682,4.436159,147.467176
76,66.558569,47.012718,31.992287,4.438974,150.002549
77,67.910996,47.806206,32.41209,4.441796,152.571089
78,69.282606,48.609561,32.836104,4.444626,155.172898
79,70.673448,49.422818,33.264345,4.447464,157.808075
80,72.083564,50.246009,33.696826,4.45031,160.476709
81,73.512993,51.079168,34.13356,4.453163,163.178885
82,74.961771,51.922323,34.57456,4.456025,165.914679
83,76.429929,52.775503,35.019838,4.458895,168.684165
84,77.917492,53.638735,35.469405,4.461773,171.487406
85,79.424484,54.512042,35.923274,4.46466,174.32446
86,80.950923,55.39545,36.381453,4.467556,177.195382
87,82.496825,56.288978,36.843954,4.47046,180.100217
88,84.062199,57.192646,37.310786,4.473373,183.039005
89,85.647054,58.106473,37.781957,4.476296,186.01178
