step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,4.607811,4.296121,4.437889,1.670231,15.012052
1,4.732567,4.387369,4.50634,1.671249,15.297525
2,4.860571,4.480462,4.57577,1.672277,15.58908
3,4.991891,4.57543,4.64619,1.673315,15.886826
4,5.126598,4.672306,4.717612,1.674362,16.190879
5,5.264764,4.771122,4.790048,1.675418,16.501353
6,5.406466,4.871911,4.86351,1.676483,16.818369
7,5.55178,4.974706,4.938009,1.677555,17.14205
8,5.700786,5.079543,5.013558,1.678635,17.472521
9,5.853564,5.186455,5.090168,1.679723,17.80991
10,6.010199,5.295478,5.167853,1.680817,18.154346
11,6.170773,5.406647,5.246623,1.681919,18.505963
12,6.335374,5.52,5.326492,1.683028,18.864894
13,6.504088,5.635572,5.407472,1.684143,19.231275
14,6.677005,5.753401,5.489575,1.685265,19.605247
15,6.854215,5.873526,5.572814,1.686394,19.986949
16,7.035811,5.995983,5.657202,1.687528,20.376524
17,7.221885,6.120813,5.742751,1.688669,20.774118
18,7.412533,6.248054,5.829474,1.689816,21.179877
19,7.607851,6.377746,5.917384,1.690969,21.59395
20,7.807937,6.509928,6.006493,1.692128,22.016487
21,8.012891,6.644643,6.096815,1.693293,22.447642
22,8.222813,6.781931,6.188363,1.694463,22.88757
23,8.437805,6.921833,6.28115,1.695639,23.336427
