step,epithelial_like,immune_like,cancer_like,infected_like,total
102,32.40179,13.131189,54.939544,5.075066,105.547589
103,32.724693,13.157025,55.671277,5.039805,106.5928
104,33.04995,13.182919,56.40936,5.004801,107.64703
105,33.377562,13.208871,57.153786,4.970052,108.710272
106,33.707533,13.234882,57.904545,4.935557,109.782517
107,34.039866,13.26095,58.661628,4.901313,110.863757
108,34.374563,13.287077,59.425025,4.867318,111.953983
109,34.711626,13.313262,60.194725,4.83357,113.053183
110,35.051057,13.339504,60.970716,4.800067,114.161344
111,35.392859,13.365805,61.752984,4.766807,115.278456
112,35.737032,13.392165,62.541517,4.733789,116.404502
113,36.083578,13.418582,63.3363,4.70101,117.539469
114,36.432498,13.445057,64.137317,4.668468,118.68334
115,36.783793,13.471591,64.944553,4.636162,119.836099
116,37.137464,13.498183,65.757992,4.604089,120.997728
117,37.493512,13.524833,66.577615,4.572249,122.168208
118,37.851936,13.551542,67.403404,4.540638,123.34752
119,38.212737,13.578308,68.235342,4.509256,124.535643
