step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,5.61192,5.711873,5.386919,2.106187,18.816899
1,5.764526,5.831789,5.470058,2.107353,19.173726
2,5.921106,5.954075,5.554386,2.108532,19.538099
3,6.081737,6.078768,5.639916,2.109724,19.910145
4,6.246503,6.205907,5.726662,2.110927,20.289998
5,6.415488,6.33553,5.814639,2.11214,20.677796
6,6.58878,6.467676,5.903861,2.113364,21.073681
7,6.766471,6.602387,5.994342,2.114597,21.477796
8,6.948654,6.739702,6.086097,2.115839,21.890292
9,7.135424,6.879664,6.17914,2.11709,22.311318
10,7.326879,7.022314,6.273486,2.11835,22.741029
11,7.523119,7.167695,6.36915,2.119618,23.179581
12,7.724243,7.315851,6.466146,2.120894,23.627134
13,7.930356,7.466824,6.564489,2.122179,24.083847
14,8.141562,7.620659,6.664194,2.123471,24.549886
15,8.357967,7.777401,6.765277,2.124771,25.025416
16,8.579678,7.937096,6.867752,2.126078,25.510604
17,8.806806,8.099788,6.971634,2.127393,26.005621
18,9.039462,8.265524,7.076939,2.128715,26.51064
19,9.277757,8.43435,7.183682,2.130045,27.025834
20,9.521807,8.606314,7.291878,2.131381,27.55138
21,9.771725,8.781462,7.401544,2.132724,28.087455
22,10.027629,8.959844,7.512693,2.134075,28.634241
23,10.289638,9.141506,7.625343,2.135432,29.191919
24,10.557871,9.326498,7.739508,2.136795,29.760672
25,10.832448,9.514869,7.855205,2.138166,30.340687
26,11.113493,9.706667,7.972448,2.139543,30.932151
27,11.401128,9.901944,8.091254,2.140926,31.535253
28,11.695479,10.100749,8.211639,2.142316,32.150183
29,11.996671,10.303132,8.333618,2.143713,32.777134
30,12.304832,10.509145,8.457208,2.145115,33.4163
31,12.62009,10.718838,8.582424,2.146524,34.067876
32,12.942574,10.932262,8.709283,2.14794,34.732059
33,13.272415,11.149471,8.837799,2.149361,35.409046
34,13.609744,11.370515,8.967991,2.150789,36.099039
35,13.954694,11.595447,9.099873,2.152223,36.802236
